form_terenu,eksp_sloneczna,nachylenie,pietro,wysokosc,pora_roku,deszcz48h,snieg48h,wiatr48h,wzr_temp
True,True,True,True,True,True,True,True,True,True,wysokie
True,True,True,True,True,True,True,True,True,False,wysokie
True,True,True,True,True,True,True,True,False,True,wysokie
True,True,True,True,True,True,True,True,False,False,wysokie
True,True,True,True,True,True,True,False,True,True,wysokie
True,True,True,True,True,True,True,False,True,False,wysokie
True,True,True,True,True,True,True,False,False,True,wysokie
True,True,True,True,True,True,True,False,False,False,wysokie
True,True,True,True,True,True,False,True,True,True,wysokie
True,True,True,True,True,True,False,True,True,False,wysokie
True,True,True,True,True,True,False,True,False,True,wysokie
True,True,True,True,True,True,False,True,False,False,wysokie
True,True,True,True,True,True,False,False,True,True,wysokie
True,True,True,True,True,True,False,False,True,False,wysokie
True,True,True,True,True,True,False,False,False,True,wysokie
True,True,True,True,True,True,False,False,False,False,brak
True,True,True,True,True,False,True,True,True,True,niskie/umiarkowane
True,True,True,True,True,False,True,True,True,False,niskie/umiarkowane
True,True,True,True,True,False,True,True,False,True,niskie/umiarkowane
True,True,True,True,True,False,True,True,False,False,niskie/umiarkowane
True,True,True,True,True,False,True,False,True,True,brak
True,True,True,True,True,False,True,False,True,False,brak
True,True,True,True,True,False,True,False,False,True,brak
True,True,True,True,True,False,True,False,False,False,brak
True,True,True,True,True,False,False,True,True,True,niskie/umiarkowane
True,True,True,True,True,False,False,True,True,False,niskie/umiarkowane
True,True,True,True,True,False,False,True,False,True,niskie/umiarkowane
True,True,True,True,True,False,False,True,False,False,niskie/umiarkowane
True,True,True,True,True,False,False,False,True,True,brak
True,True,True,True,True,False,False,False,True,False,brak
True,True,True,True,True,False,False,False,False,True,brak
True,True,True,True,True,False,False,False,False,False,brak
True,True,True,True,False,True,True,True,True,True,niskie/umiarkowane
True,True,True,True,False,True,True,True,True,False,niskie/umiarkowane
True,True,True,True,False,True,True,True,False,True,niskie/umiarkowane
True,True,True,True,False,True,True,True,False,False,niskie/umiarkowane
True,True,True,True,False,True,True,False,True,True,niskie/umiarkowane
True,True,True,True,False,True,True,False,True,False,niskie/umiarkowane
