M-34-101-A-b-3-3-1,-
M-34-101-A-c-2-4-3,-
M-34-100-B-b-1-4-3,Blachowski Potok
M-34-100-B-b-1-4-3,Butorowy Wierch
M-34-100-B-b-1-4-3,Dziadusiów Potok
M-34-100-B-b-1-4-4,Dziadusiów Potok
M-34-100-B-b-1-4-3,Dziadusiów Potok
M-34-100-B-b-1-4-2,Gładczański Potok
M-34-100-B-b-1-4-4,Gładczański Potok
M-34-100-B-b-1-4-1,Pogórze Gubałowskie
M-34-100-B-b-1-4-2,Gubałówka
M-34-100-B-b-1-4-2,Gubałówka
M-34-100-B-b-1-4-1,Las pod Gubałowskie
M-34-100-B-b-1-4-2,Las pod Gubałowskie
M-34-100-B-b-1-4-4,Młynkowiec
M-34-100-B-b-1-4-1,Słodyczków Potok
M-34-100-B-b-1-4-1,Suchy Potok
M-34-100-B-b-1-4-1,Suchy Potok
M-34-100-B-b-1-4-4,Polana Szymoszkowa
M-34-100-B-b-1-4-4,Szymoszków Potok
M-34-100-B-b-1-4-4,Szymoszków Potok
M-34-100-B-b-1-4-4,Szymoszków Potok
M-34-100-B-b-1-4-4,Szymoszków Potok
M-34-100-B-b-1-4-4,Szymoszków Potok
M-34-100-B-b-1-4-2,Pasmo Gubałowskie
M-34-100-B-b-1-4-1,Pasmo Gubałowskie
M-34-100-B-b-1-4-1,Droga przez Gubałówkę
M-34-100-B-b-1-4-4,Zakopisko
M-34-100-B-b-1-4-3,Pałkówka
M-34-101-A-a-2-2-3,Karpenciny
M-34-101-A-a-2-2-2,Maćkowa Dolina
M-34-101-A-a-2-2-3,Niebieska Dolina
M-34-101-A-a-2-2-1,Podgórzański Potok
M-34-101-A-a-2-2-3,Poroniec
M-34-101-A-a-2-2-3,Poroniec
M-34-101-A-a-2-2-1,Wysoki Wierch
M-34-101-A-a-2-2-4,Brzegowski Potok
M-34-101-A-a-2-2-4,Brzegowski Potok
M-34-101-A-a-2-2-3,Kohutówka
M-34-101-A-a-2-2-3,Na Tłoczyskach
M-34-101-A-a-2-2-3,Bafiówka
M-34-101-A-a-2-2-3,Dolina Porońca
M-34-101-A-a-2-2-4,Maćkowa Dolina
M-34-101-A-a-2-2-4,Wołowiec
M-34-101-A-a-2-2-2,Pasieczny Wierch
M-34-101-A-a-2-2-2,Zagórze
M-34-101-A-a-2-2-1,Spalenisko
M-34-101-A-a-2-2-4,Maćkowa Polana
M-34-101-A-a-2-2-4,Brzegowski Wierch
M-34-101-A-a-2-2-4,Brzegowska Góra
M-34-101-A-a-2-2-4,Koziniec
M-34-101-A-a-2-2-2,Koziniec
M-34-101-A-a-2-2-4,Koziniec
M-34-101-A-a-2-2-1,Wierch Bukowiny
M-34-101-A-a-2-2-1,Zarówieński Potok
M-34-101-A-c-2-3-1,Biały Żleb
M-34-101-A-c-2-3-1,Ciemnisty Żleb
M-34-101-A-c-2-3-2,Dudniąca Ziem
M-34-101-A-c-2-3-3,Dziadula
M-34-101-A-c-2-3-1,Gaisty Żleb
M-34-101-A-c-2-3-3,Gładkie
M-34-101-A-c-2-3-3,Głęboki Żleb
M-34-101-A-c-2-3-3,Kępa
M-34-101-A-c-2-3-2,Kiry
M-34-101-A-c-2-3-2,Las pod Czubą
M-34-101-A-c-2-3-3,Między Upłazy
M-34-101-A-c-2-3-3,Niżnie Dziady
M-34-101-A-c-2-3-1,Nowa Roztoka
M-34-101-A-c-2-3-2,Opalone
M-34-101-A-c-2-3-3,Opalone
M-34-101-A-c-2-3-1,Opalone
M-34-101-A-c-2-3-2,Orla Ściana
M-34-101-A-c-2-3-3,Pod Dziadulą
M-34-101-A-c-2-3-1,Pod Głazy
M-34-101-A-c-2-3-2,Polanka pod Czubą
